State,District,Crop,season,Avg_Yield,crop_Temp_Min,crop_Temp_Max,crop_Rainfall_Min,crop_Rainfall_Max,crop_pH_Min,crop_pH_Max,crop_N_kg_ha,crop_P_kg_ha,crop_K_kg_ha,crop_Avg_Yield_t_ha,Units,crop_Season,crop_Soil_Texture,crop_Irrigation_Type
Andaman And Nicobar Islands,Nicobars,Arecanut,Kharif     ,1.6192185007974482,14.0,36.0,750.0,4500.0,5.0,8.0,100.0,40.0,140.0,3.0,Tons/Ha,Whole Year,Clay loam,Irrigation
Andaman And Nicobar Islands,Nicobars,Arecanut,Rabi       ,0.5074164173370432,14.0,36.0,750.0,4500.0,5.0,8.0,100.0,40.0,140.0,3.0,Tons/Ha,Whole Year,Clay loam,Irrigation
Andaman And Nicobar Islands,Nicobars,Arecanut,Whole Year ,1.2093576526566217,14.0,36.0,750.0,4500.0,5.0,8.0,100.0,40.0,140.0,3.0,Tons/Ha,Whole Year,Clay loam,Irrigation
Andaman And Nicobar Islands,Nicobars,Banana,Whole Year ,5.885440942067881,20.0,35.0,1000.0,2500.0,6.0,7.5,200.0,60.0,200.0,60.0,Tons/Ha,Annual,Loam,Drip
Andaman And Nicobar Islands,Nicobars,Black Pepper,Rabi       ,0.07350000000000001,20.0,30.0,2000.0,3000.0,5.5,6.5,100.0,40.0,140.0,1.5,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,Nicobars,Black Pepper,Whole Year ,0.18658823529411764,20.0,30.0,2000.0,3000.0,5.5,6.5,100.0,40.0,140.0,1.5,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,Nicobars,Cashewnut,Rabi       ,0.29080701954012056,20.0,35.0,1000.0,2000.0,4.5,6.5,80.0,40.0,40.0,2.0,Tons/Ha,Kharif,Laterite,Rainfed
Andaman And Nicobar Islands,Nicobars,Cashewnut,Whole Year ,0.2670375521557719,20.0,35.0,1000.0,2000.0,4.5,6.5,80.0,40.0,40.0,2.0,Tons/Ha,Kharif,Laterite,Rainfed
Andaman And Nicobar Islands,Nicobars,Coconut,Whole Year ,4896.978021978022,20.0,35.0,1500.0,2500.0,5.5,8.0,100.0,40.0,140.0,12000.0,Nuts/Ha,Annual,Sandy loam,Drip/Basin
Andaman And Nicobar Islands,Nicobars,Dry Chillies,Rabi       ,1.06265664160401,20.0,30.0,600.0,1000.0,6.0,7.5,100.0,50.0,50.0,3.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,Nicobars,Dry Chillies,Whole Year ,2.06,20.0,30.0,600.0,1000.0,6.0,7.5,100.0,50.0,50.0,3.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,Nicobars,Ginger,Rabi       ,2.3560334528076465,20.0,30.0,1000.0,2000.0,5.5,6.5,100.0,50.0,50.0,15.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,Nicobars,Ginger,Whole Year ,2.956767119360734,20.0,30.0,1000.0,2000.0,5.5,6.5,100.0,50.0,50.0,15.0,Tons/Ha,Kharif,Loam,Drip
Andaman And Nicobar Islands,Nicobars,Maize,Rabi       ,1.0,18.0,27.0,500.0,800.0,5.5,7.5,150.0,70.0,50.0,8.0,Tons/Ha,Kharif/Rabi,Loam,Drip/Furrow
Andaman And Nicobar Islands,Nicobars,Moong(Green Gram),Rabi       ,1.3666666666666667,25.0,35.0,600.0,900.0,6.0,7.5,20.0,40.0,20.0,1.5,Tons/Ha,Kharif,Loamy,Rainfed
Andaman And Nicobar Islands,Nicobars,Rice,Autumn     ,1.5662601626016261,20.0,35.0,1000.0,2000.0,5.5,7.0,120.0,50.0,50.0,5.0,Tons/Ha,Kharif,Clay loam,Flood
Andaman And Nicobar Islands,Nicobars,Rice,Kharif     ,2.923529411764706,20.0,35.0,1000.0,2000.0,5.5,7.0,120.0,50.0,50.0,5.0,Tons/Ha,Kharif,Clay loam,Flood
Andaman And Nicobar Islands,Nicobars,Sugarcane,Autumn     ,2.724502487562189,20.0,35.0,1000.0,1500.0,6.5,7.5,275.0,80.0,140.0,100.0,Tons/Ha,Annual,Deep loam,Furrow/Drip
Andaman And Nicobar Islands,Nicobars,Sugarcane,Whole Year ,2.25,20.0,35.0,1000.0,1500.0,6.5,7.5,275.0,80.0,140.0,100.0,Tons/Ha,Annual,Deep loam,Furrow/Drip
